ticker,date,neg,neu,pos,compound
AAPL,2020-11-20,0.04707142857142858,0.8895000000000001,0.06342857142857143,0.06972142857142857
AAPL,2020-11-21,0.1204,0.8321999999999999,0.047200000000000006,-0.14064000000000002
AAPL,2020-11-22,0.28600000000000003,0.7140000000000001,0.0,-0.5859
AAPL,2020-11-23,0.09519999999999998,0.7836000000000001,0.12115000000000001,0.05052500000000001
AAPL,2020-11-24,0.01923529411764706,0.8822941176470589,0.09847058823529413,0.16645294117647058
AAPL,2020-11-25,0.0232,0.87585,0.10095000000000001,0.12867
AAPL,2020-11-26,0.024000000000000004,0.9011666666666667,0.07483333333333335,0.06979999999999999
AAPL,2020-11-27,0.012,0.8966363636363636,0.09136363636363637,0.16215454545454544
AAPL,2020-11-28,0.0,0.851,0.149,0.08895
AAPL,2020-11-29,0.08775000000000001,0.806,0.10625,0.05547500000000001
AAPL,Jan-13-21,0.04379665738161558,0.871364902506964,0.08483286908077987,0.08676685236768811
AAPL,Jan-14-21,0.030370370370370374,0.883592592592593,0.08603703703703701,0.08877407407407412
AAPL,Jan-15-21,0.039108108108108115,0.8840884520884527,0.07683046683046688,0.07872530712530716
AAPL,Jan-16-21,0.0,0.964,0.036000000000000004,0.0893111111111111
AAPL,Jan-17-21,0.0,0.838,0.162,0.4019
